id,course_id
21,1
23,1
24,1
26,1
27,1
29,1
32,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
22,10
25,10
28,10
30,10
31,10
33,10
110,90
45,103
46,103
47,103
48,103
49,103
50,103
51,103
52,103
53,103
54,103
55,103
56,103
57,103
58,103
59,103
60,103
61,103
62,103
63,103
64,103
65,103
66,103
67,103
68,103
69,103
70,103
42,104
71,104
72,104
73,104
74,104
75,104
76,104
77,104
78,104
79,104
80,104
81,104
82,104
83,104
84,104
85,104
86,104
87,104
88,104
89,104
90,104
91,104
92,104
93,104
94,104
95,104
96,104
97,104
98,104
99,104
100,104
101,104
102,104
103,104
104,104
105,104
106,104
107,104
108,104
109,104
563,104
564,104
565,104
283,105
284,105
285,105
286,105
287,105
288,105
289,105
290,105
291,105
292,105
293,105
294,105
295,105
296,105
297,105
298,105
299,105
300,105
301,105
302,105
303,105
304,105
305,105
306,105
307,105
308,105
309,105
310,105
311,105
312,105
313,105
314,105
315,105
316,105
317,105
318,105
319,105
320,105
321,105
322,105
323,105
324,105
325,105
326,105
327,105
328,105
329,105
330,105
331,105
332,105
333,105
334,105
335,105
336,105
337,105
338,105
339,105
111,106
112,106
113,106
114,106
115,106
116,106
117,106
118,106
119,106
120,106
121,106
122,106
123,106
124,106
125,106
126,106
127,106
128,106
129,106
130,106
566,106
340,107
341,107
342,107
343,107
344,107
345,107
346,107
347,107
348,107
349,107
350,107
351,107
352,107
353,107
354,107
355,107
356,107
357,107
358,107
359,107
360,107
361,107
362,107
363,107
364,107
365,107
366,107
367,107
368,107
369,107
370,107
371,107
372,107
373,107
374,107
375,107
376,107
377,107
378,107
379,107
380,107
381,107
382,107
383,107
384,107
385,107
386,107
387,107
567,107
568,107
569,107
43,108
44,108
131,108
132,108
133,108
134,108
135,108
136,108
137,108
138,108
139,108
140,108
141,108
142,108
143,108
144,108
145,108
146,108
147,108
148,108
149,108
150,108
151,108
152,108
153,108
154,108
155,108
156,108
157,108
158,108
159,108
160,108
161,108
162,108
163,108
164,108
165,108
166,108
167,108
168,108
169,108
170,108
252,109
253,109
254,109
255,109
256,109
257,109
258,109
259,109
260,109
261,109
262,109
263,109
264,109
265,109
266,109
267,109
268,109
269,109
270,109
271,109
272,109
273,109
274,109
275,109
276,109
277,109
278,109
279,109
280,109
281,109
282,109
212,110
213,110
214,110
215,110
216,110
217,110
218,110
219,110
220,110
221,110
222,110
223,110
224,110
225,110
226,110
227,110
228,110
229,110
230,110
231,110
232,110
233,110
234,110
235,110
236,110
237,110
238,110
239,110
240,110
241,110
242,110
243,110
244,110
245,110
246,110
247,110
248,110
249,110
250,110
251,110
171,111
172,111
173,111
174,111
175,111
176,111
177,111
178,111
179,111
180,111
181,111
182,111
183,111
184,111
185,111
186,111
187,111
188,111
189,111
190,111
191,111
192,111
193,111
194,111
195,111
196,111
197,111
198,111
199,111
200,111
201,111
202,111
203,111
204,111
205,111
206,111
207,111
208,111
209,111
210,111
211,111
509,139
510,139
511,139
512,139
513,139
514,139
515,139
516,139
517,139
518,139
519,139
520,139
521,139
522,139
523,139
524,139
525,139
526,139
527,139
528,139
529,139
530,139
531,139
532,139
533,139
534,139
535,139
536,139
537,139
538,139
539,139
540,139
541,139
542,139
543,139
544,139
388,140
389,140
390,140
391,140
392,140
393,140
394,140
545,142
546,142
547,142
548,142
549,142
550,142
551,142
552,142
553,142
554,142
583,145
584,145
585,145
586,145
587,145
395,148
396,148
397,148
398,148
399,148
400,148
401,148
402,148
403,148
404,148
405,148
406,148
407,148
408,148
409,148
410,148
411,148
412,148
413,148
414,148
555,151
556,151
557,151
558,151
559,151
560,151
561,151
562,151
571,151
573,151
574,151
575,151
576,151
577,151
578,151
579,151
580,151
581,151
582,151
572,152
415,155
416,155
417,155
418,155
419,155
420,155
421,155
422,155
423,155
424,155
425,156
426,156
427,156
428,156
429,156
430,156
431,156
432,156
433,156
434,156
435,156
436,156
437,158
438,158
439,158
440,158
441,158
442,158
443,158
444,158
445,158
446,158
447,158
448,158
449,158
450,158
451,158
452,158
453,158
454,158
455,158
456,158
457,158
458,158
459,158
460,158
461,158
462,158
463,158
464,158
465,158
466,158
467,159
468,159
469,159
470,159
471,159
472,159
473,159
474,159
475,159
476,159
477,159
478,159
479,159
570,159
489,162
490,162
491,162
492,162
493,162
494,162
495,162
496,162
497,162
498,162
499,162
500,162
501,162
502,162
503,162
504,162
505,162
506,162
507,162
508,162
480,164
481,164
482,164
483,164
484,164
485,164
486,164
487,164
488,164
